date,volume_offeredcapacity_others
2023-04-07 13:00:00,0.0207
2023-04-07 14:00:00,0.5071
2023-04-07 15:00:00,0.1485
2023-04-07 16:00:00,-0.3420
2023-04-07 17:00:00,0.0315
2023-04-07 18:00:00,0.1491
2023-04-07 19:00:00,0
2023-04-07 20:00:00,-1.9691
2023-04-07 21:00:00,-0.0001
2023-04-07 22:00:00,-0.0229
2023-04-07 23:00:00,-1.4589
2023-04-08 00:00:00,-0.1431
2023-04-08 01:00:00,0
2023-04-08 02:00:00,0
2023-04-08 03:00:00,0
2023-04-08 04:00:00,0
2023-04-08 05:00:00,0
2023-04-08 06:00:00,0.2159
2023-04-08 07:00:00,-0.7618
2023-04-08 08:00:00,0.0323
2023-04-08 09:00:00,0.0049
2023-04-08 10:00:00,0.2009
2023-04-08 11:00:00,0.1941
2023-04-08 12:00:00,0.0716
2023-04-08 13:00:00,0.2465
2023-04-08 14:00:00,0.1399
2023-04-08 15:00:00,0.0066
2023-04-08 16:00:00,0
2023-04-08 17:00:00,0.0892
2023-04-08 18:00:00,0.3567
2023-04-08 19:00:00,-0.1289
2023-04-08 20:00:00,-0.3346
2023-04-08 21:00:00,0.0477
2023-04-08 22:00:00,0.0814
2023-04-08 23:00:00,-0.1100
2023-04-09 00:00:00,0.0008
2023-04-09 01:00:00,0
2023-04-09 02:00:00,0.0004
2023-04-09 03:00:00,0
2023-04-09 04:00:00,0
2023-04-09 05:00:00,-0.0496
2023-04-09 06:00:00,0.1455
2023-04-09 07:00:00,-0.7140
2023-04-09 08:00:00,0.0123
2023-04-09 09:00:00,0.0148
2023-04-09 10:00:00,0.0527
2023-04-09 11:00:00,0.0145
2023-04-09 12:00:00,-0.0092
2023-04-09 13:00:00,-0.0157
2023-04-09 14:00:00,-0.0402
2023-04-09 15:00:00,0.0744
2023-04-09 16:00:00,0.0426
2023-04-09 17:00:00,-2.3335
2023-04-09 18:00:00,-1.5625
2023-04-09 19:00:00,-0.6079
2023-04-09 20:00:00,-0.0240
2023-04-09 21:00:00,-0.1303
2023-04-09 22:00:00,0.1038
2023-04-09 23:00:00,0.0207
2023-04-10 00:00:00,0.0097
2023-04-10 01:00:00,0
2023-04-10 02:00:00,0.0002
2023-04-10 03:00:00,0.0002
2023-04-10 04:00:00,0
2023-04-10 05:00:00,-0.0365
2023-04-10 06:00:00,0.3589
2023-04-10 07:00:00,-4.6174
2023-04-10 08:00:00,-1.1324
2023-04-10 09:00:00,0.1016
2023-04-10 10:00:00,0.2597
2023-04-10 11:00:00,0.0047
2023-04-10 12:00:00,0.0281
2023-04-10 13:00:00,-0.0025
2023-04-10 14:00:00,0.0210
2023-04-10 15:00:00,0.0119
2023-04-10 16:00:00,0.0097
2023-04-10 17:00:00,0.2778
2023-04-10 18:00:00,-0.2058
2023-04-10 19:00:00,-0.0041
2023-04-10 20:00:00,0.0276
2023-04-10 21:00:00,0.1735
2023-04-10 22:00:00,0.0001
2023-04-10 23:00:00,0
2023-04-11 00:00:00,0.0023
2023-04-11 01:00:00,0.0005
2023-04-11 02:00:00,0.0123
2023-04-11 03:00:00,0.0004
2023-04-11 04:00:00,0.0002
2023-04-11 05:00:00,-0.0210
2023-04-11 06:00:00,0.1761
2023-04-11 07:00:00,-0.1741
2023-04-11 08:00:00,0.0427
2023-04-11 09:00:00,0.0691
2023-04-11 10:00:00,0.2946
2023-04-11 11:00:00,0.0989
2023-04-11 12:00:00,0.3104
2023-04-11 13:00:00,0.0854
2023-04-11 14:00:00,0.0108
2023-04-11 15:00:00,0
2023-04-11 16:00:00,0.2217
2023-04-11 17:00:00,0.1904
2023-04-11 18:00:00,-0.7943
2023-04-11 19:00:00,0.0776
2023-04-11 20:00:00,-0.0238
2023-04-11 21:00:00,-0.5801
2023-04-11 22:00:00,-1.6911
2023-04-11 23:00:00,-0.1541
2023-04-12 00:00:00,0
2023-04-12 01:00:00,0
2023-04-12 02:00:00,0
2023-04-12 03:00:00,0
2023-04-12 04:00:00,0
2023-04-12 05:00:00,0
2023-04-12 06:00:00,0.3583
2023-04-12 07:00:00,0.1048
2023-04-12 08:00:00,0.3777
2023-04-12 09:00:00,0.0753
2023-04-12 10:00:00,-0.0034
2023-04-12 11:00:00,-0.4362
2023-04-12 12:00:00,0.0559
2023-04-12 13:00:00,0.0038
2023-04-12 14:00:00,-0.5290
2023-04-12 15:00:00,0.2025
2023-04-12 16:00:00,0.2461
2023-04-12 17:00:00,0.1219
2023-04-12 18:00:00,0.3193
2023-04-12 19:00:00,0.1403
2023-04-12 20:00:00,0.0157
2023-04-12 21:00:00,0.0177
2023-04-12 22:00:00,0.0093
2023-04-12 23:00:00,-0.1567
2023-04-13 00:00:00,0
2023-04-13 01:00:00,0
2023-04-13 02:00:00,0
2023-04-13 03:00:00,0.0002
2023-04-13 04:00:00,0
2023-04-13 05:00:00,0.0010
2023-04-13 06:00:00,0.3231
2023-04-13 07:00:00,0.4231
2023-04-13 08:00:00,-0.1031
2023-04-13 09:00:00,-0.0126
2023-04-13 10:00:00,0.0247
2023-04-13 11:00:00,0.0573
2023-04-13 12:00:00,0.0342
2023-04-13 13:00:00,-0.0213
2023-04-13 14:00:00,-0.0023
